"TIME", "PRESSURE1", "TEMPERATURE1"
0.000000000000e+00, 1.000000000000e+07, 4.731500000000e+02
2.628000000000e+06, 9.615520995280e+06, 4.731499999993e+02
5.256000000000e+06, 9.605075771384e+06, 4.731500000033e+02
7.884000000000e+06, 9.600284156863e+06, 4.731499999986e+02
1.051200000000e+07, 9.596649858207e+06, 4.731499999954e+02
1.314000000000e+07, 9.593545492421e+06, 4.731499999962e+02
1.576800000000e+07, 9.590778461243e+06, 4.731500000001e+02
1.839600000000e+07, 9.588261327861e+06, 4.731500000050e+02
2.102400000000e+07, 9.585943047219e+06, 4.731500000092e+02
2.365200000000e+07, 9.583788898015e+06, 4.731500000114e+02
2.628000000000e+07, 9.581773152825e+06, 4.731500000106e+02
2.890800000000e+07, 9.579875828368e+06, 4.731500000044e+02
3.153600000000e+07, 9.578080967852e+06, 4.731499999873e+02
3.416400000000e+07, 9.576375628568e+06, 4.731499999454e+02
3.679200000000e+07, 9.574749044419e+06, 4.731499998462e+02
3.942000000000e+07, 9.573192341120e+06, 4.731499996179e+02
4.204800000000e+07, 9.571698021255e+06, 4.731499991164e+02
4.467600000000e+07, 9.570259724171e+06, 4.731499980729e+02
4.730400000000e+07, 9.568872013537e+06, 4.731499960207e+02
4.993200000000e+07, 9.567530211236e+06, 4.731499921963e+02
5.256000000000e+07, 9.566230266204e+06, 4.731499854152e+02
5.518800000000e+07, 9.564968649763e+06, 4.731499739216e+02
5.781600000000e+07, 9.563742271304e+06, 4.731499552165e+02
6.044400000000e+07, 9.562548409773e+06, 4.731499258670e+02
6.307200000000e+07, 9.561384657654e+06, 4.731498813040e+02
6.570000000000e+07, 9.560248874830e+06, 4.731498156163e+02
6.832800000000e+07, 9.559139150404e+06, 4.731497213488e+02
7.095600000000e+07, 9.558053770944e+06, 4.731495893135e+02
7.358400000000e+07, 9.556991193966e+06, 4.731494084215e+02
7.621200000000e+07, 9.555950025669e+06, 4.731491655435e+02
7.884000000000e+07, 9.554929002198e+06, 4.731488454030e+02
8.146800000000e+07, 9.553926973787e+06, 4.731484305098e+02
8.409600000000e+07, 9.552942891293e+06, 4.731479011326e+02
8.672400000000e+07, 9.551975794710e+06, 4.731472353152e+02
8.935200000000e+07, 9.551024803328e+06, 4.731464089327e+02
9.198000000000e+07, 9.550089107266e+06, 4.731453957877e+02
9.460800000000e+07, 9.549167960139e+06, 4.731441677424e+02
9.723600000000e+07, 9.548260672701e+06, 4.731426948816e+02
9.986400000000e+07, 9.547366607286e+06, 4.731409457039e+02
1.024920000000e+08, 9.546485172931e+06, 4.731388873325e+02
1.051200000000e+08, 9.545615821077e+06, 4.731364857433e+02
1.077480000000e+08, 9.544758041776e+06, 4.731337060030e+02
1.103760000000e+08, 9.543911360298e+06, 4.731305125127e+02
1.130040000000e+08, 9.543075334127e+06, 4.731268692512e+02
1.156320000000e+08, 9.542249550228e+06, 4.731227400159e+02
1.182600000000e+08, 9.541433622634e+06, 4.731180886550e+02
1.208880000000e+08, 9.540627190260e+06, 4.731128792894e+02
1.235160000000e+08, 9.539829914899e+06, 4.731070765212e+02
1.261440000000e+08, 9.539041479434e+06, 4.731006456273e+02
1.287720000000e+08, 9.538261586199e+06, 4.730935527355e+02
1.314000000000e+08, 9.537489955483e+06, 4.730857649840e+02
1.340280000000e+08, 9.536726324187e+06, 4.730772506615e+02
1.366560000000e+08, 9.535970444559e+06, 4.730679793304e+02
1.392840000000e+08, 9.535222083077e+06, 4.730579219310e+02
1.419120000000e+08, 9.534481019400e+06, 4.730470508687e+02
1.445400000000e+08, 9.533747045407e+06, 4.730353400843e+02
1.471680000000e+08, 9.533019964335e+06, 4.730227651090e+02
1.497960000000e+08, 9.532299589960e+06, 4.730093031035e+02
1.524240000000e+08, 9.531585745861e+06, 4.729949328846e+02
1.550520000000e+08, 9.530878264740e+06, 4.729796349387e+02
1.576800000000e+08, 9.530176987789e+06, 4.729633914241e+02
1.603080000000e+08, 9.529481764122e+06, 4.729461861628e+02
1.629360000000e+08, 9.528792450233e+06, 4.729280046240e+02
1.655640000000e+08, 9.528108909495e+06, 4.729088338993e+02
1.681920000000e+08, 9.527431011726e+06, 4.728886626705e+02
1.708200000000e+08, 9.526758632758e+06, 4.728674811724e+02
1.734480000000e+08, 9.526091654049e+06, 4.728452811504e+02
1.760760000000e+08, 9.525429962320e+06, 4.728220558135e+02
1.787040000000e+08, 9.524773449236e+06, 4.727977997846e+02
1.813320000000e+08, 9.524122011076e+06, 4.727725090479e+02
1.839600000000e+08, 9.523475548476e+06, 4.727461808941e+02
1.865880000000e+08, 9.522833966142e+06, 4.727188138646e+02
1.892160000000e+08, 9.522197172609e+06, 4.726904076948e+02
